id,name,role,iplTeam,credits,battingOrder,isCaptainOption,runs,avg,sr,wickets,economy
csk-1,MS Dhoni,wk,CSK,10.5,7,true,320,53.3,182.0,0,
csk-2,Ruturaj Gaikwad,bat,CSK,10.0,1,true,680,56.7,140.0,0,
csk-3,Devon Conway,bat,CSK,9.5,2,true,610,50.8,138.0,0,
csk-4,Moeen Ali,ar,CSK,9.0,5,true,380,38.0,152.0,12,7.8
csk-5,Ambati Rayudu,bat,CSK,8.5,4,false,430,43.0,148.0,0,
csk-6,Ravindra Jadeja,ar,CSK,10.0,6,true,260,32.5,142.0,16,7.2
csk-7,Deepak Chahar,bowl,CSK,8.5,9,false,22,5.5,78.0,18,7.9
csk-8,Tushar Deshpande,bowl,CSK,7.5,10,false,10,5.0,65.0,15,8.4
csk-9,Matheesha Pathirana,bowl,CSK,9.0,11,true,8,4.0,58.0,24,7.1
csk-10,Shivam Dube,ar,CSK,8.5,3,false,340,34.0,165.0,6,9.2
csk-11,Maheesh Theekshana,bowl,CSK,8.0,8,false,12,4.0,64.0,19,7.6
srh-1,Travis Head,bat,SRH,11.0,1,true,780,65.0,198.0,0,
srh-2,Abhishek Sharma,bat,SRH,9.5,2,true,640,53.3,175.0,0,
srh-3,Heinrich Klaasen,wk,SRH,10.5,4,true,590,59.0,185.0,0,
srh-4,Aiden Markram,ar,SRH,9.0,3,true,420,42.0,158.0,8,8.5
srh-5,Nitish Kumar Reddy,ar,SRH,8.5,5,true,310,31.0,155.0,10,8.8
srh-6,Pat Cummins,ar,SRH,10.0,6,true,180,30.0,148.0,20,8.2
srh-7,Bhuvneshwar Kumar,bowl,SRH,8.5,9,false,16,5.3,72.0,18,7.8
srh-8,T Natarajan,bowl,SRH,8.0,10,false,12,4.0,65.0,16,8.1
srh-9,Jaydev Unadkat,bowl,SRH,7.5,11,false,8,4.0,58.0,14,8.5
srh-10,Shahbaz Ahmed,ar,SRH,8.0,7,false,280,28.0,145.0,7,9.0
srh-11,Umran Malik,bowl,SRH,8.5,8,false,10,5.0,60.0,21,8.0
