id,name,role,iplTeam,credits,battingOrder,isCaptainOption,runs,avg,sr,wickets,economy
rcb-1,Virat Kohli,bat,RCB,12.0,1,true,741,61.8,152.4,0,
rcb-2,Faf du Plessis,bat,RCB,9.5,2,true,620,51.7,145.2,0,
rcb-3,Glenn Maxwell,ar,RCB,10.0,4,true,480,40.0,168.4,8,8.6
rcb-4,Rajat Patidar,bat,RCB,8.5,3,false,510,42.5,155.0,0,
rcb-5,Dinesh Karthik,wk,RCB,8.5,6,false,290,48.3,178.5,0,
rcb-6,Mohammed Siraj,bowl,RCB,9.0,10,false,30,7.5,90.0,22,7.8
rcb-7,Yash Dayal,bowl,RCB,7.5,11,false,12,6.0,75.0,18,8.2
rcb-8,Cameron Green,ar,RCB,9.0,5,true,350,35.0,162.0,10,8.9
rcb-9,Alzarri Joseph,bowl,RCB,8.0,9,false,20,5.0,80.0,20,8.5
rcb-10,Will Jacks,ar,RCB,8.0,7,false,310,31.0,158.0,6,9.2
rcb-11,Lockie Ferguson,bowl,RCB,7.5,8,false,15,5.0,75.0,16,8.8
csk-1,MS Dhoni,wk,CSK,11.0,7,true,320,53.3,182.0,0,
csk-2,Ruturaj Gaikwad,bat,CSK,10.5,1,true,680,56.7,140.0,0,
csk-3,Devon Conway,bat,CSK,9.5,2,true,610,50.8,138.0,0,
csk-4,Moeen Ali,ar,CSK,9.0,5,true,380,38.0,152.0,12,7.8
csk-5,Ambati Rayudu,bat,CSK,8.5,4,false,430,43.0,148.0,0,
csk-6,Ravindra Jadeja,ar,CSK,10.5,6,true,260,32.5,142.0,16,7.2
csk-7,Deepak Chahar,bowl,CSK,8.5,9,false,22,5.5,78.0,18,7.9
csk-8,Tushar Deshpande,bowl,CSK,7.5,10,false,10,5.0,65.0,15,8.4
csk-9,Matheesha Pathirana,bowl,CSK,9.5,11,true,8,4.0,58.0,24,7.1
csk-10,Shivam Dube,ar,CSK,8.5,3,false,340,34.0,165.0,6,9.2
csk-11,Maheesh Theekshana,bowl,CSK,8.0,8,false,12,4.0,64.0,19,7.6
