id,name,role,iplTeam,credits,battingOrder,isCaptainOption,runs,avg,sr,wickets,economy
rcb-1,Virat3 Kohli,bat,RCB,11.5,1,true,741,61.8,152.4,0,
rcb-2,Faf du Plessis,bat,RCB,9.5,2,true,620,51.7,145.2,0,
rcb-3,Glenn Maxwell,ar,RCB,10.0,4,true,480,40.0,168.4,8,8.6
rcb-4,Rajat Patidar,bat,RCB,8.5,3,false,510,42.5,155.0,0,
rcb-5,Dinesh Karthik,wk,RCB,8.5,6,false,290,48.3,178.5,0,
rcb-6,Mohammed Siraj,bowl,RCB,9.0,10,false,30,7.5,90.0,22,7.8
rcb-7,Yash Dayal,bowl,RCB,7.5,11,false,12,6.0,75.0,18,8.2
rcb-8,Cameron Green,ar,RCB,9.0,5,true,350,35.0,162.0,10,8.9
rcb-9,Alzarri Joseph,bowl,RCB,8.0,9,false,20,5.0,80.0,20,8.5
rcb-10,Will Jacks,ar,RCB,8.0,7,false,310,31.0,158.0,6,9.2
rcb-11,Lockie Ferguson,bowl,RCB,7.5,8,false,15,5.0,75.0,16,8.8
mi-1,Rohit Sharma,bat,MI,11.0,1,true,680,56.7,148.6,0,
mi-2,Ishan Kishan,wk,MI,9.5,2,true,590,49.2,156.3,0,
mi-3,Suryakumar Yadav,bat,MI,11.0,3,true,720,60.0,182.0,0,
mi-4,Hardik Pandya,ar,MI,10.5,5,true,410,41.0,170.0,14,8.0
mi-5,Tim David,bat,MI,9.0,6,false,380,47.5,192.0,0,
mi-6,Kieron Pollard,ar,MI,8.5,7,false,280,35.0,175.0,8,9.0
mi-7,Jasprit Bumrah,bowl,MI,11.0,10,true,22,5.5,68.0,28,6.2
mi-8,Trent Boult,bowl,MI,9.5,11,false,8,4.0,57.0,24,7.5
mi-9,Kumar Kartikeya,bowl,MI,7.5,9,false,14,4.7,63.0,17,7.8
mi-10,Tilak Varma,bat,MI,8.5,4,false,420,42.0,158.0,0,
mi-11,Shreyas Gopal,bowl,MI,7.0,8,false,18,6.0,72.0,12,8.9
